date,value
2023-07-07,50500
2023-07-08,50129.85861
2023-07-09,49962.83218
2023-07-10,50122.93555
2023-07-11,50595.95975
2023-07-12,50626.9538
2023-07-13,50425.4936
2023-07-14,50350.35074
2023-07-15,50824.48821
2023-07-16,51265.93409
2023-07-17,51085.13466
2023-07-18,50965.97144
2023-07-19,50622.04709
2023-07-20,50160.20447
2023-07-21,50281.39843
2023-07-22,50776.12953
2023-07-23,51241.87692
2023-07-24,51308.31658
2023-07-25,51423.89573
2023-07-26,51461.57954
2023-07-27,51736.2026
2023-07-28,51323.068
2023-07-29,51006.98735
2023-07-30,51204.26091
2023-07-31,50966.46432
2023-08-01,50515.78862
2023-08-02,50464.11977
2023-08-03,50557.41546
2023-08-04,50089.83886
2023-08-05,50119.13608
2023-08-06,50482.10883
2023-08-07,50362.49025
2023-08-08,50181.932
2023-08-09,49784.48322
2023-08-10,49813.93225
2023-08-11,50035.30329
2023-08-12,50423.52444
2023-08-13,50612.34194
2023-08-14,51077.95322
2023-08-15,51327.30104
2023-08-16,51787.25637
2023-08-17,52003.52734
2023-08-18,51815.13863
2023-08-19,52051.96773
2023-08-20,51559.88919
2023-08-21,51611.15368
2023-08-22,51909.57954
2023-08-23,51594.65662
2023-08-24,51673.80616
2023-08-25,51799.28191
2023-08-26,52196.82102
2023-08-27,52108.59143
2023-08-28,52664.73968
2023-08-29,52498.7604
2023-08-30,52750.63636
2023-08-31,53738.77333
2023-09-01,52981.47158
2023-09-02,52450.34797
2023-09-03,52450.34797
2023-09-04,52450.34797
2023-09-05,52000.93892
2023-09-06,52000.93892
2023-09-07,52839.93892




