date,value
2023-07-07,22000
2023-07-08,22066.64422
2023-07-09,22210.4513
2023-07-10,22138.51938
2023-07-11,22261.01477
2023-07-12,22292.14691
2023-07-13,22305.29583
2023-07-14,22483.72673
2023-07-15,22606.19054
2023-07-16,22805.45013
2023-07-17,22762.27728
2023-07-18,22809.41045
2023-07-19,23028.66081
2023-07-20,23147.23626
2023-07-21,23286.0389
2023-07-22,23284.22098
2023-07-23,23477.62741
2023-07-24,23273.21224
2023-07-25,23456.71953
2023-07-26,23642.55455
2023-07-27,23841.35132
2023-07-28,23830.85323
2023-07-29,24026.41049
2023-07-30,24007.95479
2023-07-31,23970.94321
2023-08-01,23986.72087
2023-08-02,23958.1012
2023-08-03,24095.21485
2023-08-04,24146.50672
2023-08-05,24066.29612
2023-08-06,23987.07827
2023-08-07,23989.52089
2023-08-08,24116.80655
2023-08-09,24133.86564
2023-08-10,24297.50596
2023-08-11,24130.29766
2023-08-12,24217.96793
2023-08-13,24412.46459
2023-08-14,24566.54368
2023-08-15,24545.54263
2023-08-16,24721.1658
2023-08-17,24753.24852
2023-08-18,24995.81068
2023-08-19,24868.35421
2023-08-20,24784.06316
2023-08-21,24848.57552
2023-08-22,24643.98937
2023-08-23,24415.43197
2023-08-24,24219.17715
2023-08-25,24440.43607
2023-08-26,24513.73903
2023-08-27,24508.59143
2023-08-28,24664.73968
2023-08-29,24498.7604
2023-08-30,24498.7604
2023-08-31,24498.7604
2023-09-01,24591.7604
2023-09-02,24450.3479
2023-09-03,24450.3479
2023-09-04,24450.3479
2023-09-05,24450.3479
2023-09-06,24854.3479
2023-09-07,24600.8294
2023-09-08,24735.1829
2023-09-09,24735.1829
2023-09-10,24735.1829
2023-09-11,24930.2889
2023-09-12,24930.2889
2023-09-13,24930.2889
2023-09-14,24199.4839
2023-09-15,24199.4839
2023-09-16,24392.1839
2023-09-17,24392.1839
2023-09-18,24392.1839
2023-09-19,24989.1930
2023-09-20,24989.1930
2023-09-21,23489.84
2023-09-22,23489.84
2023-09-23,26488.54
2023-09-24,26488.54
2023-09-25,26488.54
2023-09-26,28038.53
2023-09-27,32041.43
2023-09-28,30243.21
2023-09-29,30243.21
2023-09-30,30243.21
2023-10-01,29439.43
2023-10-02,29439.43
2023-10-03,28392.32
2023-10-04,28392.32
2023-10-05,28392.32
2023-10-06,28392.32
2023-10-07,27930.23
2023-10-08,27930.23
2023-10-09,27930.23
2023-10-10,27321.32
2023-10-11,27321.32
2023-10-12,26321.32
2023-10-13,27311.23
2023-10-14,27321.23
2023-10-15,27321.23






