date,value
2023-07-07,6100
2023-07-08,6460.428156
2023-07-09,6413.160687
2023-07-10,6350.362395
2023-07-11,6366.822435
2023-07-12,6399.623001
2023-07-13,6347.813683
2023-07-14,6292.231966
2023-07-15,6336.984414
2023-07-16,6394.485534
2023-07-17,6384.620484
2023-07-18,6439.455019
2023-07-19,6412.279261
2023-07-20,6406.841632
2023-07-21,6347.984087
2023-07-22,6314.982455
2023-07-23,6289.741727
2023-07-24,6263.798877
2023-07-25,6316.504367
2023-07-26,6299.985839
2023-07-27,6268.164561
2023-07-28,6254.270103
2023-07-29,6252.236991
2023-07-30,6273.297672
2023-07-31,6288.388354
2023-08-01,6345.573161
2023-08-02,6349.537324
2023-08-03,6339.386632
2023-08-04,6367.125071
2023-08-05,6409.42379
2023-08-06,6408.315833
2023-08-07,6377.173534
2023-08-08,6408.830602
2023-08-09,6459.623097
2023-08-10,6507.055693
2023-08-11,6502.176634
2023-08-12,6536.714276
2023-08-13,6583.174436
2023-08-14,6522.334117
2023-08-15,6541.865846
2023-08-16,6493.738731
2023-08-17,6553.060064
2023-08-18,6616.472676
2023-08-19,6657.37611
2023-08-20,6723.572426
2023-08-21,6679.019763
2023-08-22,6622.784992
2023-08-23,6636.962369
2023-08-24,6685.647953
2023-08-25,6670.378552
2023-08-26,6714.328013
2023-08-27,6730.59143
2023-08-28,6703.73968
2023-08-29,6720.7604
2023-08-30,6701.63636
2023-08-31,6640.77333
2023-09-01,6710.47158
2023-09-02,6720.34797
2023-09-03,6720.34797
2023-09-04,6720.34797
2023-09-05,6890.28901
2023-09-06,6890.28901
2023-09-07,6832.90291
2023-09-08,6832.90291
2023-09-09,6777.48600
2023-09-10,6777.48600
2023-09-11,6777.48600
2023-09-12,6777.4860
2023-09-13,6697.4983
2023-09-14,6697.4983
