date,value
2023-07-07,6600
2023-07-08,6905.335718
2023-07-09,6871.180285
2023-07-10,6882.003936
2023-07-11,6865.723508
2023-07-12,6844.311677
2023-07-13,6848.178141
2023-07-14,6886.353807
2023-07-15,6870.69395
2023-07-16,6865.900568
2023-07-17,6806.635696
2023-07-18,6829.385074
2023-07-19,6811.764337
2023-07-20,6763.822164
2023-07-21,6778.753641
2023-07-22,6813.889275
2023-07-23,6840.696521
2023-07-24,6795.952034
2023-07-25,6773.920818
2023-07-26,6721.790531
2023-07-27,6695.327834
2023-07-28,6708.295358
2023-07-29,6658.278792
2023-07-30,6690.287116
2023-07-31,6689.796915
2023-08-01,6704.322589
2023-08-02,6698.69819
2023-08-03,6635.381787
2023-08-04,6577.466751
2023-08-05,6552.979224
2023-08-06,6585.823672
2023-08-07,6572.781995
2023-08-08,6606.72644
2023-08-09,6599.038243
2023-08-10,6643.157377
2023-08-11,6600.841194
2023-08-12,6539.140482
2023-08-13,7018.108066
2023-08-14,6983.299115
2023-08-15,6725.878993
2023-08-16,6495.477463
2023-08-17,6531.326959
2023-08-18,6591.343309
2023-08-19,6544.649232
2023-08-20,7263.041612
2023-08-21,7000.658798
2023-08-22,6507.391581
2023-08-23,6838.315188
2023-08-24,6901.812394
2023-08-25,6988.233205
2023-08-26,6843.631353
2023-08-27,6901.812394
2023-08-28,6988.233205
2023-08-29,6843.631353
2023-08-30,6750.63636
2023-08-31,6738.77333
2023-09-01,6981.47158
2023-09-02,6981.34797
2023-09-03,6981.34797
2023-09-04,6981.34797
2023-09-05,6731.93820
2023-09-06,6731.93820
2023-09-07,6784.83912
