date,value
2023-07-07,21000
2023-07-08,22641.79131
2023-07-09,22597.2842
2023-07-10,22771.21998
2023-07-11,22730.84456
2023-07-12,22933.29136
2023-07-13,22801.06368
2023-07-14,22659.70541
2023-07-15,22656.56732
2023-07-16,22477.35847
2023-07-17,22548.53918
2023-07-18,22367.74283
2023-07-19,22145.09052
2023-07-20,22325.9413
2023-07-21,22365.11343
2023-07-22,22199.46834
2023-07-23,22302.69962
2023-07-24,22258.71739
2023-07-25,22169.15782
2023-07-26,22126.45796
2023-07-27,22214.38278
2023-07-28,22046.54734
2023-07-29,21936.28392
2023-07-30,21749.28815
2023-07-31,21690.24827
2023-08-01,21732.6941
2023-08-02,21942.14785
2023-08-03,22142.57231
2023-08-04,22240.3891
2023-08-05,22085.68321
2023-08-06,22196.05633
2023-08-07,22333.52841
2023-08-08,22270.86422
2023-08-09,22336.13941
2023-08-10,22280.99527
2023-08-11,22208.91345
2023-08-12,22329.89239
2023-08-13,20386.08222
2023-08-14,22281.24727
2023-08-15,22207.62159
2023-08-16,22040.48834
2023-08-17,21000.88341
2023-08-18,21911.81441
2023-08-19,21829.27234
2023-08-20,21000.92173
2023-08-21,21860.94585
2023-08-22,22070.59844
2023-08-23,22121.65604
2023-08-24,22190.76136
2023-08-25,22000.47467
2023-08-26,22323.48081
2023-08-27,22323.59143
2023-08-28,22323.73968
2023-08-29,22103.7604
2023-08-30,22605.63636
2023-08-31,22404.77333
2023-09-01,22555.47158
2023-09-02,22345.34797




