date,value
2023-07-07,105000
2023-07-08,104152.8026
2023-07-09,105122.1167
2023-07-10,104665.4273
2023-07-11,105485.0887
2023-07-12,105664.5061
2023-07-13,106267.1055
2023-07-14,106616.4832
2023-07-15,105592.3516
2023-07-16,105774.1186
2023-07-17,105003.4761
2023-07-18,103980.5296
2023-07-19,104778.5977
2023-07-20,104173.8477
2023-07-21,104746.0472
2023-07-22,105311.4282
2023-07-23,105576.641
2023-07-24,104589.3255
2023-07-25,104100.604
2023-07-26,103950.9402
2023-07-27,103842.9633
2023-07-28,103377.7384
2023-07-29,103293.4898
2023-07-30,102575.1347
2023-07-31,102381.0522
2023-08-01,101679.1891
2023-08-02,101681.2593
2023-08-03,100811.1453
2023-08-04,100807.3463
2023-08-05,100555.7553
2023-08-06,101498.3256
2023-08-07,102163.5472
2023-08-08,101343.6446
2023-08-09,100434.0854
2023-08-10,101177.1853
2023-08-11,101005.8288
2023-08-12,101155.0853
2023-08-13,100394.117
2023-08-14,101367.4553
2023-08-15,101640.9679
2023-08-16,102275.6339
2023-08-17,101726.5879
2023-08-18,101236.2892
2023-08-19,101176.7379
2023-08-20,100677.7383
2023-08-21,100501.5904
2023-08-22,100977.3918
2023-08-23,101079.2538
2023-08-24,101946.1949
2023-08-25,102004.3895
2023-08-26,102662.7182
