date,value
2023-07-07,14800
2023-07-08,15018.27848
2023-07-09,14942.23715
2023-07-10,15042.36067
2023-07-11,15153.70765
2023-07-12,15153.85551
2023-07-13,15302.55816
2023-07-14,15177.40163
2023-07-15,15225.97474
2023-07-16,15121.74936
2023-07-17,15014.18289
2023-07-18,14933.78689
2023-07-19,14878.13938
2023-07-20,14757.50439
2023-07-21,14628.58988
2023-07-22,14723.08252
2023-07-23,14585.85635
2023-07-24,14451.76393
2023-07-25,14370.97259
2023-07-26,14268.51642
2023-07-27,14296.54568
2023-07-28,14319.17032
2023-07-29,14351.22941
2023-07-30,14219.05861
2023-07-31,14325.27014
2023-08-01,14255.10409
2023-08-02,14202.59544
2023-08-03,14170.69921
2023-08-04,14066.57176
2023-08-05,14137.43077
2023-08-06,14093.89036
2023-08-07,13994.13992
2023-08-08,14061.85251
2023-08-09,14128.56679
2023-08-10,14013.05069
2023-08-11,14028.1285
2023-08-12,13929.45568
2023-08-13,14038.19778
2023-08-14,14021.77975
2023-08-15,14036.1407
2023-08-16,14065.64147
2023-08-17,14195.67012
2023-08-18,14102.05133
2023-08-19,14215.71104
2023-08-20,14285.82798
2023-08-21,14274.1044
2023-08-22,14205.62284
2023-08-23,14297.19475
2023-08-24,14424.45781
2023-08-25,14477.28548
2023-08-26,14418.4645
2023-08-27,14432.4645
2023-08-28,14421.4645
2023-08-29,14422.4645
2023-08-30,14543.4645
2023-08-31,14654.4645
2023-09-01,15100.4645
2023-09-02,14508.4645

