date,value
2023-07-07,13000
2023-07-08,12791.09572
2023-07-09,12789.45565
2023-07-10,12700.60108
2023-07-11,12773.97502
2023-07-12,12695.88644
2023-07-13,12797.96192
2023-07-14,12813.86129
2023-07-15,12695.65904
2023-07-16,12750.52691
2023-07-17,12755.55873
2023-07-18,12864.30084
2023-07-19,12887.36838
2023-07-20,12954.9402
2023-07-21,12982.18918
2023-07-22,13052.5883
2023-07-23,13057.50593
2023-07-24,13183.3993
2023-07-25,13066.16415
2023-07-26,13195.5413
2023-07-27,13092.31172
2023-07-28,13212.40035
2023-07-29,13271.46102
2023-07-30,13353.64587
2023-07-31,13233.70898
2023-08-01,13220.78226
2023-08-02,13116.17572
2023-08-03,13138.77195
2023-08-04,13036.16673
2023-08-05,12987.74658
2023-08-06,12893.13245
2023-08-07,12830.81604
2023-08-08,12778.20826
2023-08-09,12757.90411
2023-08-10,12789.99857
2023-08-11,12793.59199
2023-08-12,12744.20252
2023-08-13,12763.77833
2023-08-14,12824.04449
2023-08-15,12951.9628
2023-08-16,12921.87779
2023-08-17,14048.82059
2023-08-18,12924.81411
2023-08-19,12834.06028
2023-08-20,12890.82994
2023-08-21,12844.82421
2023-08-22,12918.291
2023-08-23,12808.52664
2023-08-24,13000.05405
2023-08-25,13214.09014
2023-08-26,13593.06461
2023-08-27,13795.79181
2023-08-28,13760.5348
2023-08-29,13760.5348
2023-08-30,13760.5348
2023-08-31,13760.5348
2023-09-01,13760.5348
2023-09-02,13760.5348
