date,value
2023-07-07,27000
2023-07-08,27037.06561
2023-07-09,26772.8117
2023-07-10,26633.04613
2023-07-11,26541.1773
2023-07-12,26385.7437
2023-07-13,26486.76069
2023-07-14,26273.24529
2023-07-15,26317.1219
2023-07-16,26323.80082
2023-07-17,26090.21069
2023-07-18,26317.95855
2023-07-19,26395.21112
2023-07-20,26395.03574
2023-07-21,26494.92614
2023-07-22,26357.08264
2023-07-23,26189.27251
2023-07-24,25990.5916
2023-07-25,26246.36477
2023-07-26,26507.52922
2023-07-27,26668.68505
2023-07-28,26732.37538
2023-07-29,26883.65001
2023-07-30,26856.67106
2023-07-31,26658.40151
2023-08-01,26719.95776
2023-08-02,26458.88569
2023-08-03,26307.53584
2023-08-04,26274.36129
2023-08-05,26463.6138
2023-08-06,26550.75462
2023-08-07,26321.09907
2023-08-08,26139.20822
2023-08-09,26119.83405
2023-08-10,26262.99452
2023-08-11,26019.2227
2023-08-12,24984.38001
2023-08-13,25999.74409
2023-08-14,26156.93501
2023-08-15,24203.87385
2023-08-16,20456.88868
2023-08-17,22497.10579
2023-08-18,26543.05865
2023-08-19,23646.27255
2023-08-20,24627.82632
2023-08-21,25780.37868
2023-08-22,24752.84884
2023-08-23,25579.49904
2023-08-24,27722.18403
2023-08-25,29545.12614
2023-08-26,28458.1324
2023-08-27,27438.432
2023-08-28,27438.432
2023-08-29,27438.432
2023-08-30,28738.434
2023-08-31,28738.434
2023-09-01,28738.434
2023-09-02,28738.434
