date,value
2023-07-07,22000
2023-07-08,21783.40255
2023-07-09,21712.54746
2023-07-10,21817.68373
2023-07-11,21929.81092
2023-07-12,22076.86971
2023-07-13,21956.72767
2023-07-14,22161.89239
2023-07-15,21969.19598
2023-07-16,21754.33938
2023-07-17,21892.05099
2023-07-18,21937.74075
2023-07-19,21901.56738
2023-07-20,22032.9748
2023-07-21,21887.92347
2023-07-22,21680.60992
2023-07-23,21739.28089
2023-07-24,21590.00189
2023-07-25,21384.46733
2023-07-26,21358.2743
2023-07-27,21404.63238
2023-07-28,21379.28709
2023-07-29,21251.21059
2023-07-30,21425.63955
2023-07-31,21368.33073
2023-08-01,21432.17757
2023-08-02,21351.24506
2023-08-03,21444.65499
2023-08-04,21485.46765
2023-08-05,21605.48365
2023-08-06,21432.74917
2023-08-07,21371.25006
2023-08-08,21208.47058
2023-08-09,21297.93009
2023-08-10,21325.05326
2023-08-11,21398.36541
2023-08-12,21257.51641
2023-08-13,21397.20348
2023-08-14,21229.04061
2023-08-15,21182.66831
2023-08-16,21186.36885
2023-08-17,21217.89112
2023-08-18,21243.44163
2023-08-19,21330.70927
2023-08-20,21357.90436
2023-08-21,21259.8161
2023-08-22,21398.13589
2023-08-23,21485.12671
2023-08-24,21629.65346
2023-08-25,21775.45512
2023-08-26,21687.77004
2023-08-27,21687.77004
2023-08-28,21490.49309
2023-08-29,21490.49309
2023-08-30,21490.49309
2023-08-31,21387.77004
2023-09-01,21332.42344
2023-09-02,21332.43243
2023-09-03,21332.43243
2023-09-04,21493.34128
2023-09-05,21493.34128
2023-09-06,21493.34128
2023-09-07,21493.34128
2023-09-08,21328.12893
2023-09-09,21328.12893
2023-09-10,21328.12893
2023-09-11,21328.12893
2023-09-12,21328.12893
2023-09-13,21328.12893
2023-09-14,21527.77773
