date,value
2023-07-07,13500
2023-07-08,13573.42634
2023-07-09,13524.02047
2023-07-10,13607.20028
2023-07-11,13495.25476
2023-07-12,13440.6607
2023-07-13,13527.7441
2023-07-14,13523.64669
2023-07-15,13615.81955
2023-07-16,13620.15254
2023-07-17,13484.15571
2023-07-18,13415.48353
2023-07-19,13380.59841
2023-07-20,13457.249
2023-07-21,13454.07006
2023-07-22,13403.93109
2023-07-23,13402.22095
2023-07-24,13464.03714
2023-07-25,13426.00682
2023-07-26,13557.23141
2023-07-27,13685.22357
2023-07-28,13782.56246
2023-07-29,13913.91122
2023-07-30,13987.64326
2023-07-31,14043.62491
2023-08-01,14034.28151
2023-08-02,13981.63456
2023-08-03,14032.58625
2023-08-04,14026.58494
2023-08-05,14147.56311
2023-08-06,14087.75409
2023-08-07,14072.56767
2023-08-08,14067.69019
2023-08-09,14026.84095
2023-08-10,14143.15656
2023-08-11,14160.87769
2023-08-12,14179.18771
2023-08-13,14146.28044
2023-08-14,14027.20224
2023-08-15,14051.27424
2023-08-16,14179.44513
2023-08-17,14082.6243
2023-08-18,14185.27146
2023-08-19,14210.82782
2023-08-20,14286.38012
2023-08-21,14258.88719
2023-08-22,14162.64046
2023-08-23,14063.26476
2023-08-24,14178.91516
2023-08-25,14114.37817
2023-08-26,14126.43244
2023-08-27,14026.39922
2023-08-28,14026.39922
2023-08-29,14026.39922
2023-08-30,14026.39922
2023-08-31,13890.4324
2023-09-01,13890.4324
2023-09-02,13890.4324
