date,value
2023-07-07,23000
2023-07-08,22574.37847
2023-07-09,22443.46198
2023-07-10,22269.78821
2023-07-11,22130.49969
2023-07-12,22238.42363
2023-07-13,22127.33539
2023-07-14,22080.57621
2023-07-15,21948.85316
2023-07-16,21817.5085
2023-07-17,21998.13554
2023-07-18,21914.60985
2023-07-19,22034.82873
2023-07-20,22024.16627
2023-07-21,22212.95809
2023-07-22,22355.95418
2023-07-23,22268.96275
2023-07-24,22370.80319
2023-07-25,22280.00323
2023-07-26,22362.53393
2023-07-27,22239.63542
2023-07-28,22348.89656
2023-07-29,22378.6971
2023-07-30,22210.96345
2023-07-31,22035.88217
2023-08-01,22182.83391
2023-08-02,22066.27277
2023-08-03,22201.52464
2023-08-04,22019.25726
2023-08-05,21867.93102
2023-08-06,21992.76104
2023-08-07,21847.73055
2023-08-08,21760.32751
2023-08-09,21972.86041
2023-08-10,21802.06961
2023-08-11,21700.7479
2023-08-12,21593.4364
2023-08-13,21397.70348
2023-08-14,21536.99149
2023-08-15,21667.07673
2023-08-16,21625.09713
2023-08-17,21756.48439
2023-08-18,21835.92285
2023-08-19,21711.67443
2023-08-20,21876.45404
2023-08-21,21845.11175
2023-08-22,21908.56579
2023-08-23,21821.21802
2023-08-24,21662.96441
2023-08-25,21794.42954
2023-08-26,21799.54049
2023-08-27,21582.01062
2023-08-28,21685.63253
2023-08-29,21851.71024
2023-08-30,21973.55477
2023-08-31,21973.55477
2023-09-01,21758.12920
2023-09-02,21758.12920
2023-09-03,21758.12920
2023-09-04,21350.82910
2023-09-05,21350.82910
2023-09-06,21952.12389
2023-09-07,21952.12389
2023-09-08,21952.12389
2023-09-09,21382.95483
2023-09-10,21382.95483
2023-09-11,21382.95483
2023-09-12,21582.28494
2023-09-13,21582.28494
2023-09-14,21582.28494
2023-09-15,21399.49302
2023-09-16,21399.49302
2023-09-17,21303.39402
2023-09-18,21303.39402
2023-09-19,21303.39402
2023-09-20,21303.39402
